"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2009-01-01","2009","01","01","","-14.8","","-20.1","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"2009-01-02","2009","01","02","","-11.4","","-16.5","","-14.0","","32.0","","0.0","","0.0","","1.8","","1.8","","8","","","","",""
"2009-01-03","2009","01","03","","-8.2","","-13.1","","-10.7","","28.7","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2009-01-04","2009","01","04","","-8.5","","-13.9","","-11.2","","29.2","","0.0","","0.0","","0.2","","0.2","","8","","","","",""
"2009-01-05","2009","01","05","","-2.1","","-9.4","","-5.8","","23.8","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"2009-01-06","2009","01","06","","-3.9","","-10.5","","-7.2","","25.2","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"2009-01-07","2009","01","07","","-7.6","","-10.2","","-8.9","","26.9","","0.0","","0.0","","23.8","","23.8","","9","","","","",""
"2009-01-08","2009","01","08","","-7.7","","-13.4","","-10.6","","28.6","","0.0","","0.0","","1.8","","1.8","","19","","","","",""
"2009-01-09","2009","01","09","","-11.1","","-16.9","","-14.0","","32.0","","0.0","","0.0","","0.6","","0.6","","17","","","","",""
"2009-01-10","2009","01","10","","-12.4","","-21.1","","-16.8","","34.8","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"2009-01-11","2009","01","11","","-8.7","","-16.1","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","14","","","","",""
"2009-01-12","2009","01","12","","-4.0","","-13.4","","-8.7","","26.7","","0.0","","0.0","","0.0","T","0.0","T","13","","","","",""
"2009-01-13","2009","01","13","","1.5","","-16.1","","-7.3","","25.3","","0.0","","0.0","","2.4","","2.4","","14","","","","",""
"2009-01-14","2009","01","14","","-15.9","","-23.2","","-19.6","","37.6","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"2009-01-15","2009","01","15","","-19.2","","-27.3","","-23.3","","41.3","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"2009-01-16","2009","01","16","","-19.9","","-28.3","","-24.1","","42.1","","0.0","","0.0","","0.0","T","0.0","T","14","","","","",""
"2009-01-17","2009","01","17","","-16.7","","-24.7","","-20.7","","38.7","","0.0","","0.0","","1.4","","1.4","","15","","","","",""
"2009-01-18","2009","01","18","","-8.8","","-17.9","","-13.4","","31.4","","0.0","","0.0","","4.3","","3.4","","16","","","","",""
"2009-01-19","2009","01","19","","-9.1","","-12.7","","-10.9","","28.9","","0.0","","0.0","","3.8","","3.2","","16","","","","",""
"2009-01-20","2009","01","20","","-8.6","","-17.6","","-13.1","","31.1","","0.0","","0.0","","0.6","","0.4","","17","","","","",""
"2009-01-21","2009","01","21","","-5.7","","-19.8","","-12.8","","30.8","","0.0","","0.0","","1.2","","0.8","","16","","","","",""
"2009-01-22","2009","01","22","","-0.8","","-8.9","","-4.9","","22.9","","0.0","","0.0","","1.0","","0.8","","17","","","","",""
"2009-01-23","2009","01","23","","-8.9","","-14.2","","-11.6","","29.6","","0.0","","0.0","","1.2","","1.2","","17","","","","",""
"2009-01-24","2009","01","24","","-8.2","","-22.2","","-15.2","","33.2","","0.0","","0.0","","0.0","T","0.0","T","17","","","","",""
"2009-01-25","2009","01","25","","-12.0","","-18.9","","-15.5","","33.5","","0.0","","0.0","","0.4","","0.4","","16","","","","",""
"2009-01-26","2009","01","26","","-13.2","","-25.8","","-19.5","","37.5","","0.0","","0.0","","0.0","T","0.0","T","16","","","","",""
"2009-01-27","2009","01","27","","-9.0","","-16.5","","-12.8","","30.8","","0.0","","0.0","","0.0","T","0.0","T","16","","","","",""
"2009-01-28","2009","01","28","","-7.1","","-14.0","","-10.6","","28.6","","0.0","","0.0","","23.8","","22.8","","16","","","","",""
"2009-01-29","2009","01","29","","-5.1","","-11.4","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"2009-01-30","2009","01","30","","-2.1","","-6.0","","-4.1","","22.1","","0.0","","0.0","","3.2","","2.4","","33","","","","",""
"2009-01-31","2009","01","31","","-5.8","","-19.5","","-12.7","","30.7","","0.0","","0.0","","0.2","","0.2","","33","","","","",""
