"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","","-3.0","","-7.6","","-5.3","","23.3","","0.0","","0.0","","1.8","","1.8","","0","","","","",""
"2015-01-02","2015","01","02","","-3.4","","-14.2","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","1","","","","",""
"2015-01-03","2015","01","03","","-8.5","","-17.7","","-13.1","","31.1","","0.0","","0.0","","17.0","","20.0","","1","","","","",""
"2015-01-04","2015","01","04","","3.0","","-8.6","","-2.8","","20.8","","0.0","","26.8","","0.4","","27.2","","8","","","","",""
"2015-01-05","2015","01","05","","-5.3","","-17.9","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"2015-01-06","2015","01","06","","-8.6","","-19.1","","-13.9","","31.9","","0.0","","0.0","","2.2","","2.2","","6","","","","",""
"2015-01-07","2015","01","07","","-9.0","","-26.4","","-17.7","","35.7","","0.0","","0.0","","3.8","","3.8","","8","","","","",""
"2015-01-08","2015","01","08","","-7.4","","-27.5","","-17.5","","35.5","","0.0","","0.0","","2.2","","2.2","","10","","","","",""
"2015-01-09","2015","01","09","","-6.1","","-14.6","","-10.4","","28.4","","0.0","","0.0","","2.6","","2.6","","12","","","","",""
"2015-01-10","2015","01","10","","-9.0","","-13.4","","-11.2","","29.2","","0.0","","0.0","","0.4","","0.4","","7","","","","",""
"2015-01-11","2015","01","11","","-4.2","","-12.2","","-8.2","","26.2","","0.0","","0.0","","0.0","T","0.0","T","7","","","","",""
"2015-01-12","2015","01","12","","-1.9","","-16.9","","-9.4","","27.4","","0.0","","0.0","","4.2","","4.2","","7","","","","",""
"2015-01-13","2015","01","13","","-17.0","","-23.1","","-20.1","","38.1","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2015-01-14","2015","01","14","","-14.4","","-23.3","","-18.9","","36.9","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"2015-01-15","2015","01","15","","-4.7","","-20.8","","-12.8","","30.8","","0.0","","0.0","","0.8","","0.8","","10","","","","",""
