"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","32.10"
"Climate Identifier","702S006"
"WMO Identifier","71183"
"TC Identifier","WTQ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","†","-2.9","","-7.4","","-5.2","","23.2","","0.0","","","M","","M","0.3","","","","21","","54",""
"2015-01-02","2015","01","02","†","-3.3","","-16.0","","-9.7","","27.7","","0.0","","","M","","M","0.2","","","","29","","48",""
"2015-01-03","2015","01","03","†","-7.7","","-17.5","","-12.6","","30.6","","0.0","","","M","","M","12.3","","","","4","","35",""
"2015-01-04","2015","01","04","†","3.6","","-7.8","","-2.1","","20.1","","0.0","","","M","","M","25.3","","4","","27","","61",""
"2015-01-05","2015","01","05","†","-5.1","","-17.8","","-11.5","","29.5","","0.0","","","M","","M","0.0","","3","","26","","63",""
"2015-01-06","2015","01","06","†","-8.2","","-19.0","E","-13.6","E","31.6","E","0.0","E","","M","","M","2.0","E","3","","","M","","M"
"2015-01-07","2015","01","07","†","-8.9","","-26.0","","-17.5","","35.5","","0.0","","","M","","M","2.7","","8","","29","","44",""
"2015-01-08","2015","01","08","†","-7.1","","-26.7","","-16.9","","34.9","","0.0","","","M","","M","0.7","","11","","20","","44",""
"2015-01-09","2015","01","09","†","-5.9","","-13.3","","-9.6","","27.6","","0.0","","","M","","M","1.2","","13","","29","","48",""
"2015-01-10","2015","01","10","†","-8.4","","-13.1","","-10.8","","28.8","","0.0","","","M","","M","0.0","","11","","22","","39",""
"2015-01-11","2015","01","11","†","-4.2","","-11.3","","-7.8","","25.8","","0.0","","","M","","M","0.0","","11","","19","","33",""
"2015-01-12","2015","01","12","†","-1.9","","-16.7","","-9.3","","27.3","","0.0","","","M","","M","3.2","","11","","36","","39",""
"2015-01-13","2015","01","13","†","-16.7","","-23.8","","-20.3","","38.3","","0.0","","","M","","M","0.4","","12","","","","<31",""
"2015-01-14","2015","01","14","†","-14.4","","-23.8","","-19.1","","37.1","","0.0","","","M","","M","0.0","","12","","","","<31",""
"2015-01-15","2015","01","15","†","-4.4","","-20.4","","-12.4","","30.4","","0.0","","","M","","M","0.0","","12","","","","<31",""
"2015-01-16","2015","01","16","†","-2.4","","-20.3","","-11.4","","29.4","","0.0","","","M","","M","0.6","","15","","31","","56",""
"2015-01-17","2015","01","17","†","-14.6","","-23.5","","-19.1","","37.1","","0.0","","","M","","M","0.0","","11","","","","<31",""
"2015-01-18","2015","01","18","†","2.7","","-15.1","","-6.2","","24.2","","0.0","","","M","","M","3.7","","12","","15","","41",""
"2015-01-19","2015","01","19","†","1.4","","-13.4","","-6.0","","24.0","","0.0","","","M","","M","1.6","","15","","26","","44",""
"2015-01-20","2015","01","20","†","-13.4","","-18.2","","-15.8","","33.8","","0.0","","","M","","M","0.0","","13","","27","","39",""
"2015-01-21","2015","01","21","†","-9.6","","-20.7","","-15.2","","33.2","","0.0","","","M","","M","0.0","","13","","","","<31",""
"2015-01-22","2015","01","22","†","-9.1","","-18.3","","-13.7","","31.7","","0.0","","","M","","M","0.0","","14","","","","<31",""
"2015-01-23","2015","01","23","†","-0.2","","-11.2","","-5.7","","23.7","","0.0","","","M","","M","0.0","","14","","22","","46",""
"2015-01-24","2015","01","24","†","-0.4","","-3.0","","-1.7","","19.7","","0.0","","","M","","M","0.0","","13","","22","","32",""
"2015-01-25","2015","01","25","†","-1.7","","-18.3","","-10.0","","28.0","","0.0","","","M","","M","0.2","","13","","30","","50",""
"2015-01-26","2015","01","26","†","-14.3","","-22.2","","-18.3","","36.3","","0.0","","","M","","M","0.0","","13","","3","","39",""
"2015-01-27","2015","01","27","†","-9.5","","-15.7","","-12.6","","30.6","","0.0","","","M","","M","0.0","","13","","4","","56",""
"2015-01-28","2015","01","28","†","-8.3","","-15.4","","-11.9","","29.9","","0.0","","","M","","M","0.0","","13","","","","<31",""
"2015-01-29","2015","01","29","†","-0.7","","-15.5","","-8.1","","26.1","","0.0","","","M","","M","1.5","","12","","14","","43",""
