"Station Name","QUEBEC/JEAN LESAGE INTL"
"Province","QUEBEC"
"Latitude","46.80"
"Longitude","-71.38"
"Elevation","60.00"
"Climate Identifier","701S001"
"WMO Identifier","71714"
"TC Identifier","WQB"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","","-18.7","","-33.9","","-26.3","","44.3","","0.0","","","","","","0.0","T","","","","","",""
"2014-01-02","2014","01","02","","-22.6","","-33.4","","-28.0","","46.0","","0.0","","","","","","0.0","T","","","","","",""
"2014-01-03","2014","01","03","","-21.8","","-26.9","","-24.4","","42.4","","0.0","","","","","","0.0","T","","","","","",""
"2014-01-04","2014","01","04","","-12.3","","-29.7","","-21.0","","39.0","","0.0","","","","","","1.5","","","","","","",""
"2014-01-05","2014","01","05","","-3.4","","-13.4","","-8.4","","26.4","","0.0","","","","","","8.5","","","","","","",""
"2014-01-06","2014","01","06","","2.7","","-12.0","","-4.7","","22.7","","0.0","","","","","","27.9","","","","","","",""
"2014-01-07","2014","01","07","","-12.7","","-18.0","","-15.4","","33.4","","0.0","","","","","","0.0","T","","","","","",""
"2014-01-08","2014","01","08","","-10.8","","-16.4","","-13.6","","31.6","","0.0","","","","","","0.0","","","","","","",""
"2014-01-09","2014","01","09","","-11.5","","-23.6","","-17.6","","35.6","","0.0","","","","","","0.0","","","","","","",""
"2014-01-10","2014","01","10","","-7.5","","-25.8","","-16.7","","34.7","","0.0","","","","","","0.0","T","","","","","",""
"2014-01-11","2014","01","11","","3.3","","-7.6","","-2.2","","20.2","","0.0","","","","","","15.5","","","","","","",""
"2014-01-12","2014","01","12","","5.1","","-0.9","","2.1","","15.9","","0.0","","","","","","3.0","","","","","","",""
"2014-01-13","2014","01","13","","4.0","","-3.7","","0.2","","17.8","","0.0","","","","","","0.3","","","","","","",""
"2014-01-14","2014","01","14","","4.0","","0.8","","2.4","","15.6","","0.0","","","","","","8.0","","","","","","",""
"2014-01-15","2014","01","15","","2.7","","-2.9","","-0.1","","18.1","","0.0","","","","","","0.2","","","","","","",""
