"Station Name","TORONTO INTL A"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158731"
"WMO Identifier","71624"
"TC Identifier","YYZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","‡","-10.0","","-15.3","","-12.7","","30.7","","0.0","","0.0","","0.0","","0.0","","3","","","M","35",""
"2014-01-02","2014","01","02","‡","-15.2","","-20.0","","-17.6","","35.6","","0.0","","0.0","","1.0","","0.8","","3","","","M","48",""
"2014-01-03","2014","01","03","‡","-9.2","","-23.8","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","4","","","M","41",""
"2014-01-04","2014","01","04","‡","-0.4","","-9.2","","-4.8","","22.8","","0.0","","0.0","","0.4","","0.4","","4","","","M","57",""
"2014-01-05","2014","01","05","‡","-0.1","","-2.6","","-1.4","","19.4","","0.0","","1.8","","11.6","","14.4","","6","","","M","<31",""
"2014-01-06","2014","01","06","‡","-0.1","","-17.5","","-8.8","","26.8","","0.0","","4.0","","1.2","","5.2","","12","","","M","82",""
"2014-01-07","2014","01","07","‡","-17.3","","-24.2","","-20.8","","38.8","","0.0","","0.0","","0.0","T","0.0","T","12","","","M","82",""
"2014-01-08","2014","01","08","‡","-9.1","","-17.5","","-13.3","","31.3","","0.0","","0.0","","0.0","T","0.0","T","12","","","M","37",""
"2014-01-09","2014","01","09","‡","-6.2","","-16.0","","-11.1","","29.1","","0.0","","0.0","","0.2","","0.2","","8","","","M","<31",""
"2014-01-10","2014","01","10","‡","2.7","","-8.1","","-2.7","","20.7","","0.0","","1.2","","1.8","","3.0","","10","","","M","<31",""
"2014-01-11","2014","01","11","‡","6.8","","1.6","","4.2","","13.8","","0.0","","7.8","","0.0","","7.8","","8","","","M","56",""
"2014-01-12","2014","01","12","‡","2.3","","0.4","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","4","","","M","59",""
"2014-01-13","2014","01","13","‡","7.5","","0.5","","4.0","","14.0","","0.0","","1.0","","0.0","","1.0","","3","","","M","41",""
"2014-01-14","2014","01","14","‡","4.2","","-0.6","","1.8","","16.2","","0.0","","0.0","","0.0","T","0.0","T","2","","","M","<31",""
"2014-01-15","2014","01","15","‡","0.7","","-5.9","","-2.6","","20.6","","0.0","","0.0","","0.0","T","0.0","T","1","","","M","63",""
"2014-01-16","2014","01","16","‡","-0.9","","-5.4","","-3.2","","21.2","","0.0","","0.0","","1.6","","1.6","","1","","","M","46",""
"2014-01-17","2014","01","17","‡","1.4","","-2.9","","-0.8","","18.8","","0.0","","0.0","","2.6","","2.4","","4","","","M","43",""
"2014-01-18","2014","01","18","‡","-2.7","","-8.5","","-5.6","","23.6","","0.0","","0.0","","0.6","","0.6","","3","","","M","39",""
"2014-01-19","2014","01","19","‡","-2.7","","-8.8","","-5.8","","23.8","","0.0","","0.0","","0.6","","0.6","","3","","","M","61",""
"2014-01-20","2014","01","20","‡","-2.7","","-17.3","","-10.0","","28.0","","0.0","","0.0","","1.0","","0.8","","4","","","M","43",""
"2014-01-21","2014","01","21","‡","-16.9","","-21.2","","-19.1","","37.1","","0.0","","0.0","","0.0","","0.0","","4","","","M","37",""
"2014-01-22","2014","01","22","‡","-13.0","","-23.5","","-18.3","","36.3","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","<31",""
"2014-01-23","2014","01","23","‡","-14.0","","-19.5","","-16.8","","34.8","","0.0","","0.0","","0.4","","0.2","","4","","","M","35",""
"2014-01-24","2014","01","24","‡","-8.7","","-19.6","","-14.2","","32.2","","0.0","","0.0","","0.6","","0.6","","4","","","M","67",""
"2014-01-25","2014","01","25","‡","-3.3","","-17.1","","-10.2","","28.2","","0.0","","0.0","","4.2","","3.6","","7","","","M","63",""
"2014-01-26","2014","01","26","‡","-4.9","","-18.1","","-11.5","","29.5","","0.0","","0.0","","1.4","","1.0","","8","","","M","41",""
"2014-01-27","2014","01","27","‡","-4.8","","-17.4","","-11.1","","29.1","","0.0","","0.0","","2.4","","2.0","","9","","","M","65",""
"2014-01-28","2014","01","28","‡","-12.5","","-20.3","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","9","","","M","52",""
"2014-01-29","2014","01","29","‡","-10.1","","-18.5","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","9","","","M","56",""
"2014-01-30","2014","01","30","‡","-2.1","","-13.1","","-7.6","","25.6","","0.0","","0.2","","0.4","","0.4","","9","","","M","69",""
"2014-01-31","2014","01","31","‡","0.2","","-4.3","","-2.1","","20.1","","0.0","","0.0","","0.0","T","0.0","T","8","","","M","39",""
"2014-02-01","2014","02","01","‡","0.6","","-3.7","","-1.6","","19.6","","0.0","","0.0","","11.0","","12.4","","6","","","M","<31",""
"2014-02-02","2014","02","02","‡","0.2","","-8.4","","-4.1","","22.1","","0.0","","0.0","T","0.0","","0.0","T","14","","","M","37",""
"2014-02-03","2014","02","03","‡","-4.0","","-14.3","","-9.2","","27.2","","0.0","","0.0","","0.0","","0.0","","14","","","M","<31",""
"2014-02-04","2014","02","04","‡","-4.7","","-15.7","","-10.2","","28.2","","0.0","","0.0","","1.0","","1.0","","12","","","M","<31",""
"2014-02-05","2014","02","05","‡","-6.3","","-14.8","","-10.6","","28.6","","0.0","","0.0","","14.9","","11.2","","15","","","M","50",""
"2014-02-06","2014","02","06","‡","-7.7","","-17.1","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","25","","","M","44",""
"2014-02-07","2014","02","07","‡","-10.2","","-16.3","","-13.3","","31.3","","0.0","","0.0","","0.0","T","0.0","T","23","","","M","57",""
"2014-02-08","2014","02","08","‡","-10.2","","-18.0","","-14.1","","32.1","","0.0","","0.0","","0.4","","0.4","","22","","","M","<31",""
"2014-02-09","2014","02","09","‡","-8.3","","-16.1","","-12.2","","30.2","","0.0","","0.0","","2.6","","2.4","","22","","","M","<31",""
"2014-02-10","2014","02","10","‡","-6.8","","-13.4","","-10.1","","28.1","","0.0","","0.0","","0.0","","0.0","","23","","","M","41",""
"2014-02-11","2014","02","11","‡","-9.8","","-17.4","","-13.6","","31.6","","0.0","","0.0","","0.0","","0.0","","20","","","M","37",""
"2014-02-12","2014","02","12","‡","-7.2","","-21.3","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","18","","","M","<31",""
"2014-02-13","2014","02","13","‡","-2.5","","-15.1","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","18","","","M","<31",""
"2014-02-14","2014","02","14","‡","-0.6","","-7.0","","-3.8","","21.8","","0.0","","0.0","","0.2","","0.2","","17","","","M","43",""
"2014-02-15","2014","02","15","‡","-3.8","","-14.1","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","17","","","M","32",""
"2014-02-16","2014","02","16","‡","-8.0","","-15.4","","-11.7","","29.7","","0.0","","0.0","","0.4","","0.4","","16","","","M","39",""
"2014-02-17","2014","02","17","‡","-3.2","","-17.3","","-10.3","","28.3","","0.0","","0.0","","1.2","","1.2","","16","","","M","59",""
"2014-02-18","2014","02","18","‡","-1.2","","-4.7","","-3.0","","21.0","","0.0","","0.0","","4.4","","4.2","","20","","","M","48",""
"2014-02-19","2014","02","19","‡","5.5","","-6.3","","-0.4","","18.4","","0.0","","0.2","","0.0","","0.2","","20","","","M","48",""
"2014-02-20","2014","02","20","‡","2.2","","-3.0","","-0.4","","18.4","","0.0","","11.2","","3.2","","15.0","","14","","","M","52",""
"2014-02-21","2014","02","21","‡","4.4","","-0.8","","1.8","","16.2","","0.0","","5.6","","0.0","T","5.6","","10","","","M","83",""
"2014-02-22","2014","02","22","‡","2.1","","-2.3","","-0.1","","18.1","","0.0","","0.0","","0.0","T","0.0","T","8","","","M","76",""
"2014-02-23","2014","02","23","‡","-1.1","","-6.4","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","7","","","M","57",""
"2014-02-24","2014","02","24","‡","-6.1","","-10.5","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.0","T","7","","","M","61",""
"2014-02-25","2014","02","25","‡","-7.0","","-11.8","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","7","","","M","56",""
"2014-02-26","2014","02","26","‡","-10.0","","-15.8","","-12.9","","30.9","","0.0","","0.0","","0.0","","0.0","","7","","","M","56",""
"2014-02-27","2014","02","27","‡","-9.4","","-17.2","","-13.3","","31.3","","0.0","","0.0","","0.2","","0.2","","7","","","M","80",""
"2014-02-28","2014","02","28","‡","-8.1","","-19.8","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","7","","","M","35",""
"2014-03-01","2014","03","01","‡","-2.5","","-11.4","","-7.0","","25.0","","0.0","","0.0","","4.2","","3.8","","7","","","M","43",""
"2014-03-02","2014","03","02","‡","-9.9","","-17.6","","-13.8","","31.8","","0.0","","0.0","","1.8","","1.6","","13","","","M","37",""
"2014-03-03","2014","03","03","‡","-12.1","","-19.6","","-15.9","","33.9","","0.0","","0.0","","0.0","","0.0","","12","","","M","39",""
"2014-03-04","2014","03","04","‡","-8.9","","-17.7","","-13.3","","31.3","","0.0","","0.0","","2.0","","1.0","","12","","","M","<31",""
"2014-03-05","2014","03","05","‡","-6.0","","-14.6","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","13","","","M","32",""
"2014-03-06","2014","03","06","‡","-4.8","","-11.2","","-8.0","","26.0","","0.0","","0.0","","10.6","","2.4","","22","","","M","43",""
"2014-03-07","2014","03","07","‡","2.4","","-13.7","","-5.7","","23.7","","0.0","","0.0","","0.0","","0.0","","22","","","M","<31",""
"2014-03-08","2014","03","08","‡","2.2","","-8.1","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","12","","","M","43",""
"2014-03-09","2014","03","09","‡","0.4","","-10.9","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","10","","","M","59",""
"2014-03-10","2014","03","10","‡","6.8","","-0.1","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","8","","","M","37",""
"2014-03-11","2014","03","11","‡","10.1","","1.6","","5.9","","12.1","","0.0","","0.0","","0.0","","0.0","","3","","","M","<31",""
"2014-03-12","2014","03","12","‡","2.4","","-15.1","","-6.4","","24.4","","0.0","","0.0","","9.2","","8.4","","1","","","M","65",""
"2014-03-13","2014","03","13","‡","-7.1","","-17.0","","-12.1","","30.1","","0.0","","0.0","","0.0","","0.0","","8","","","M","61",""
"2014-03-14","2014","03","14","‡","9.8","","-7.1","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","7","","","M","74",""
"2014-03-15","2014","03","15","‡","4.7","","-8.6","","-2.0","","20.0","","0.0","","0.0","","0.0","T","0.0","T","2","","","M","65",""
"2014-03-16","2014","03","16","‡","-8.4","","-14.5","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","1","","","M","41",""
"2014-03-17","2014","03","17","‡","-4.0","","-16.0","","-10.0","","28.0","","0.0","","0.0","","0.0","T","0.0","T","1","","","M","33",""
"2014-03-18","2014","03","18","‡","2.1","","-8.7","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","1","","","M","33",""
"2014-03-19","2014","03","19","‡","5.8","","-0.6","","2.6","","15.4","","0.0","","2.8","","0.0","T","2.8","","1","","","M","54",""
"2014-03-20","2014","03","20","‡","2.9","","-2.8","","0.1","","17.9","","0.0","","0.0","","0.0","T","0.0","T","1","","","M","67",""
"2014-03-21","2014","03","21","‡","4.2","","-4.6","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","0","","","M","37",""
