"Station Name","WINDSOR A"
"Province","ONTARIO"
"Latitude","42.28"
"Longitude","-82.96"
"Elevation","189.60"
"Climate Identifier","6139525"
"WMO Identifier","71538"
"TC Identifier","YQG"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","","-1.0","","-9.2","","-5.1","","23.1","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"2013-01-02","2013","01","02","","-4.0","","-11.1","","-7.6","","25.6","","0.0","","0.0","","0.0","T","0.0","T","10","","","","<31",""
"2013-01-03","2013","01","03","","-1.1","","-8.1","","-4.6","","22.6","","0.0","","0.0","","0.0","T","0.0","T","10","","","","<31",""
"2013-01-04","2013","01","04","","-1.6","","-5.4","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","T","10","","23","E","50","E"
"2013-01-05","2013","01","05","","0.5","","-7.5","","-3.5","","21.5","","0.0","","0.0","","1.8","","1.4","","9","","","","<31",""
"2013-01-06","2013","01","06","","2.4","","0.2","","1.3","","16.7","","0.0","","0.2","","0.4","","0.6","","10","","","","<31",""
"2013-01-07","2013","01","07","","1.6","","-1.5","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","5","","21","E","48","E"
"2013-01-08","2013","01","08","","1.6","","-3.4","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","4","","","","<31",""
"2013-01-09","2013","01","09","","8.7","","-0.3","","4.2","","13.8","","0.0","","0.0","T","0.0","","0.0","T","3","","26","E","54","E"
"2013-01-10","2013","01","10","","4.7","","-3.5","","0.6","","17.4","","0.0","","0.4","","0.0","","0.4","","0","T","","","<31",""
"2013-01-11","2013","01","11","","14.0","","2.3","","8.2","","9.8","","0.0","","6.8","","0.0","","6.8","","0","T","19","E","37","E"
"2013-01-12","2013","01","12","","13.8","","7.3","","10.6","","7.4","","0.0","","2.8","","0.0","","2.8","","0","","","","<31",""
"2013-01-13","2013","01","13","","8.7","","0.3","","4.5","","13.5","","0.0","","27.2","","0.0","T","27.2","","0","","1","E","52","E"
"2013-01-14","2013","01","14","","0.3","","-5.6","","-2.7","","20.7","","0.0","","0.0","","0.0","T","0.0","T","0","","29","E","44","E"
"2013-01-15","2013","01","15","","-0.6","","-7.6","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
