STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TSUN,TMAX,TMIN,AWND,WDF5,WT09,WT14,WT07,WT01,WT15,WT17,WT06,WT21,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03,WT10,WT19
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090701,15,-9999,206,167,26,270,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090702,5,-9999,211,150,35,230,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090703,0,-9999,256,156,27,280,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090704,132,-9999,222,144,17,80,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090705,58,-9999,239,161,31,90,-9999,1,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090706,0,-9999,278,139,13,320,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090707,0,-9999,289,144,29,340,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090708,0,-9999,256,183,17,130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090709,0,-9999,267,172,25,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090710,152,-9999,294,189,23,170,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,1,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090711,43,-9999,278,206,37,230,-9999,-9999,1,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090712,0,-9999,278,200,25,290,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090713,0,-9999,278,172,27,330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090714,0,-9999,278,156,22,300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090715,0,-9999,256,189,29,180,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090716,0,-9999,289,206,33,280,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
