Date, CYYZ01Min, CYYZ01Max, CYYZ02Min, CYYZ02Max, CYYZ03Min, CYYZ03Max
2015-11-10, 6, 12, 6, 11, 2, 8
2015-11-11, 6, 11, 1, 8, 2, 7
2015-11-12, 1, 8, 2, 7, 4, 13
2015-11-13, 2, 7, 3, 14, 6, 13
2015-11-14, 3, 13, 4, 9, 7, 9
2015-11-15, 2, 9, 6, 8, 9, 13
2015-11-16, 7, 9, 11, 13, 1, 13
2015-11-17, 11, 13, 2, 13, -1, 7
2015-11-18, 1, 13, 0, 7, -1, 6
2015-11-19, -1, 7, 2, 6, -4, 3
2015-11-20, 0, 4, -4, 2, -2, 2
2015-11-21, -4, 2, -1, 3, -1, 6
2015-11-22, -2, 2, -2, 6, 3, 7
2015-11-23, -2, 6, 4, 7, 8, 9
